mp_id,full_name,club,mandate_status,district_number,category,count,url
192,Andrzej Kryj,PiS,aktywny,33,"Interpelacje, którym nadano bieg:",10,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=192&Typ=INT&Czyb=T
192,Andrzej Kryj,PiS,aktywny,33,Pytania w sprawach bieżących:,12,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=192&Typ=PYT&Czyb=T
192,Andrzej Kryj,PiS,aktywny,33,Oświadczenia:,5,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=192&view=8
193,Mariusz Krystian,PiS,aktywny,12,"Interpelacje, którym nadano bieg:",76,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=193&Typ=INT&Czyb=T
193,Mariusz Krystian,PiS,aktywny,12,"Interpelacje, którym nie nadano biegu:",4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=193&Typ=INT&Czyb=N
193,Mariusz Krystian,PiS,aktywny,12,"Zapytania, którym nadano bieg:",9,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=193&Typ=ZAP&Czyb=T
193,Mariusz Krystian,PiS,aktywny,12,Pytania w sprawach bieżących:,19,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=193&Typ=PYT&Czyb=T
193,Mariusz Krystian,PiS,aktywny,12,Oświadczenia:,49,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=193&view=8
194,Marek Krząkała,KO,aktywny,30,"Interpelacje, którym nadano bieg:",41,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=194&Typ=INT&Czyb=T
194,Marek Krząkała,KO,aktywny,30,"Zapytania, którym nadano bieg:",6,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=194&Typ=ZAP&Czyb=T
194,Marek Krząkała,KO,aktywny,30,Pytania w sprawach bieżących:,2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=194&Typ=PYT&Czyb=T
195,Adam Krzemiński,KO,aktywny,16,"Interpelacje, którym nadano bieg:",35,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=195&Typ=INT&Czyb=T
195,Adam Krzemiński,KO,aktywny,16,"Zapytania, którym nadano bieg:",9,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=195&Typ=ZAP&Czyb=T
195,Adam Krzemiński,KO,aktywny,16,Pytania w sprawach bieżących:,11,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=195&Typ=PYT&Czyb=T
195,Adam Krzemiński,KO,aktywny,16,Oświadczenia:,11,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=195&view=8
196,Henryka Krzywonos-Strycharska,KO,aktywny,26,"Interpelacje, którym nadano bieg:",49,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=196&Typ=INT&Czyb=T
196,Henryka Krzywonos-Strycharska,KO,aktywny,26,"Zapytania, którym nadano bieg:",2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=196&Typ=ZAP&Czyb=T
197,Krzysztof Kubów,PiS,aktywny,1,"Interpelacje, którym nadano bieg:",83,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=197&Typ=INT&Czyb=T
197,Krzysztof Kubów,PiS,aktywny,1,"Zapytania, którym nadano bieg:",8,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=197&Typ=ZAP&Czyb=T
197,Krzysztof Kubów,PiS,aktywny,1,Oświadczenia:,3,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=197&view=8
198,Anita Kucharska-Dziedzic,Lewica,aktywny,8,"Interpelacje, którym nadano bieg:",83,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=198&Typ=INT&Czyb=T
198,Anita Kucharska-Dziedzic,Lewica,aktywny,8,"Zapytania, którym nadano bieg:",7,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=198&Typ=ZAP&Czyb=T
198,Anita Kucharska-Dziedzic,Lewica,aktywny,8,Pytania w sprawach bieżących:,31,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=198&Typ=PYT&Czyb=T
199,Marek Kuchciński,PiS,aktywny,22,"Interpelacje, którym nadano bieg:",2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=199&Typ=INT&Czyb=T
199,Marek Kuchciński,PiS,aktywny,22,Pytania w sprawach bieżących:,6,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=199&Typ=PYT&Czyb=T
200,Paweł Kukiz,Republikanie,aktywny,21,"Interpelacje, którym nadano bieg:",5,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=200&Typ=INT&Czyb=T
201,Marcin Kulasek,Lewica,aktywny,35,Pytania w sprawach bieżących:,18,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=201&Typ=PYT&Czyb=T
202,Maria Kurowska,PiS,aktywny,22,"Interpelacje, którym nadano bieg:",96,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=202&Typ=INT&Czyb=T
202,Maria Kurowska,PiS,aktywny,22,"Interpelacje, którym nie nadano biegu:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=202&Typ=INT&Czyb=N
202,Maria Kurowska,PiS,aktywny,22,"Zapytania, którym nadano bieg:",7,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=202&Typ=ZAP&Czyb=T
202,Maria Kurowska,PiS,aktywny,22,Pytania w sprawach bieżących:,4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=202&Typ=PYT&Czyb=T
202,Maria Kurowska,PiS,aktywny,22,Oświadczenia:,26,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=202&view=8
203,Władysław Kurowski,PiS,aktywny,12,"Interpelacje, którym nadano bieg:",31,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=203&Typ=INT&Czyb=T
203,Władysław Kurowski,PiS,aktywny,12,"Zapytania, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=203&Typ=ZAP&Czyb=T
203,Władysław Kurowski,PiS,aktywny,12,Pytania w sprawach bieżących:,7,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=203&Typ=PYT&Czyb=T
203,Władysław Kurowski,PiS,aktywny,12,Oświadczenia:,29,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=203&view=8
204,Zbigniew Krzysztof Kuźmiuk,PiS,aktywny,17,"Interpelacje, którym nadano bieg:",10,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=204&Typ=INT&Czyb=T
204,Zbigniew Krzysztof Kuźmiuk,PiS,aktywny,17,"Zapytania, którym nadano bieg:",2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=204&Typ=ZAP&Czyb=T
204,Zbigniew Krzysztof Kuźmiuk,PiS,aktywny,17,Pytania w sprawach bieżących:,17,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=204&Typ=PYT&Czyb=T
205,Anna Kwiecień,PiS,aktywny,17,"Interpelacje, którym nadano bieg:",50,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=205&Typ=INT&Czyb=T
205,Anna Kwiecień,PiS,aktywny,17,"Zapytania, którym nadano bieg:",4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=205&Typ=ZAP&Czyb=T
205,Anna Kwiecień,PiS,aktywny,17,Pytania w sprawach bieżących:,16,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=205&Typ=PYT&Czyb=T
205,Anna Kwiecień,PiS,aktywny,17,Oświadczenia:,29,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=205&view=8
