mp_id,full_name,club,mandate_status,district_number,body_name,from_date,to_date,role,url
009,Marek Ast,PiS,aktywny,8,Polsko-Francuska Grupa Parlamentarna,05-07-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&475&PL
009,Marek Ast,PiS,aktywny,8,Polsko-Kazachstańska Grupa Parlamentarna,11-07-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&523&PL
009,Marek Ast,PiS,aktywny,8,Polsko-Węgierska Grupa Parlamentarna,05-07-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&461&PL
009,Marek Ast,PiS,aktywny,8,Zespół Parlamentarny Polska-USA,05-07-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&463&PL
010,Urszula Augustyn,KO,aktywny,15,Delegacja Sejmu i Senatu RP do Zgromadzenia Parlamentarnego Sejmu i Senatu RP i Sejmu Republiki Litewskiej,08-02-2024,,przedstawiciel,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADDEL&NrKadencji=10&Deleg=90
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Brytyjska Grupa Parlamentarna,07-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&473&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Czeska Grupa Parlamentarna,22-02-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&462&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Litewska Grupa Parlamentarna,22-02-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&458&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Łotewska Grupa Parlamentarna,08-05-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&510&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Mołdawska Grupa Parlamentarna,07-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&468&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Rumuńska Grupa Parlamentarna,13-06-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&514&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Słowacka Grupa Parlamentarna,07-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&467&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Tajwański Zespół Parlamentarny,22-02-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&456&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Ukraińska Grupa Parlamentarna,22-02-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&460&PL
011,Piotr Babinetz,PiS,aktywny,22,Polsko-Węgierska Grupa Parlamentarna,22-02-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&461&PL
012,Ryszard Bartosik,PiS,aktywny,37,Polsko-Brazylijska Grupa Parlamentarna,27-06-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&517&PL
012,Ryszard Bartosik,PiS,aktywny,37,Polsko-Cypryjska Grupa Parlamentarna,09-05-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&500&PL
