mp_id,full_name,club,mandate_status,district_number,label,count,url
040,Lidia Burzyńska,PiS,aktywny,28,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=040&type=P&symbol=WYPOWIEDZI_POSLA
041,Marek Jan Chmielewski,KO,aktywny,2,Wypowiedzi łącznie,5,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=041&type=P&symbol=WYPOWIEDZI_POSLA
042,Zbigniew Chmielowiec,PiS,aktywny,23,Wypowiedzi łącznie,4,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=042&type=P&symbol=WYPOWIEDZI_POSLA
043,Artur Chojecki,PiS,aktywny,35,Wypowiedzi,19,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=043&type=P&symbol=WYPOWIEDZI_POSLA
044,Kazimierz Bogusław Choma,PiS,aktywny,6,Wypowiedzi łącznie,3,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=044&type=P&symbol=WYPOWIEDZI_POSLA
045,Dominika Chorosińska,PiS,aktywny,20,Wypowiedzi,16,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=045&type=P&symbol=WYPOWIEDZI_POSLA
046,Tadeusz Chrzan,PiS,aktywny,22,Wypowiedzi,5,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=046&type=P&symbol=WYPOWIEDZI_POSLA
047,Alicja Chybicka,KO,aktywny,3,Wypowiedzi,29,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=047&type=P&symbol=WYPOWIEDZI_POSLA
048,Anna Ewa Cicholska,PiS,aktywny,16,Wypowiedzi łącznie,7,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=048&type=P&symbol=WYPOWIEDZI_POSLA
049,Janusz Cichoń,KO,aktywny,35,Wypowiedzi,34,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=049&type=P&symbol=WYPOWIEDZI_POSLA
050,Krzysztof Ciecióra,PiS,aktywny,10,Wypowiedzi łącznie,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=050&type=P&symbol=WYPOWIEDZI_POSLA
051,Janusz Cieszyński,PiS,aktywny,35,Wypowiedzi,34,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=051&type=P&symbol=WYPOWIEDZI_POSLA
