mp_id,full_name,club,mandate_status,district_number,body_name,from_date,to_date,role,url
114,Krzysztof Grabczuk,KO,aktywny,7,Komisja do Spraw Unii Europejskiej,21-11-2023,06-11-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=SUE
114,Krzysztof Grabczuk,KO,aktywny,7,Podkomisja stała do spraw wykorzystywania środków pochodzących z Unii Europejskiej,06-03-2024,06-11-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=SUE01S
114,Krzysztof Grabczuk,KO,aktywny,7,"Komisja Kultury Fizycznej, Sportu i Turystyki",21-11-2023,,zastępca przewodniczącego,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KFS
114,Krzysztof Grabczuk,KO,aktywny,7,Komisja do Spraw Unii Europejskiej,06-11-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=SUE
114,Krzysztof Grabczuk,KO,aktywny,7,Podkomisja stała do spraw wykorzystywania środków pochodzących z Unii Europejskiej,06-11-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=SUE01S
116,Marcin Grabowski,PiS,aktywny,18,"Komisja Kultury Fizycznej, Sportu i Turystyki",21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KFS
116,Marcin Grabowski,PiS,aktywny,18,Komisja Polityki Senioralnej,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=PSN
116,Marcin Grabowski,PiS,aktywny,18,Podkomisja stała do spraw zdrowia osób starszych,08-05-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=PSN01S
116,Marcin Grabowski,PiS,aktywny,18,Komisja Polityki Społecznej i Rodziny,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=PSR
116,Marcin Grabowski,PiS,aktywny,18,"Podkomisja nadzwyczajna do rozpatrzenia senackiego projektu ustawy o zmianie ustawy o zaopatrzeniu emerytalnym funkcjonariuszy Policji, Agencji Bezpieczeństwa Wewnętrznego, Agencji Wywiadu, Służby Kontrwywiadu Wojskowego, Służby Wywiadu Wojskowego, Centralnego Biura Antykorupcyjnego, Straży Granicznej, Straży Marszałkowskiej, Służby Ochrony Państwa, Państwowej Straży Pożarnej, Służby Celno-Skarbowej i Służby Więziennej oraz ich rodzin (druk nr 232)",20-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=FPB01N
116,Marcin Grabowski,PiS,aktywny,18,Podkomisja stała do spraw osób z niepełnosprawnościami i włączenia społecznego,08-01-2025,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=PSR04S
116,Marcin Grabowski,PiS,aktywny,18,Komisja Nadzwyczajna do rozpatrzenia projektów ustaw dotyczących rynku pracy oraz cudzoziemców przebywających na terytorium Rzeczypospolitej Polskiej,24-01-2025,08-05-2025,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMND&NrKadencji=10&KodKom=NZC
117,Michał Gramatyka,Polska2050-TD,aktywny,31,"Komisja Cyfryzacji, Innowacyjności i Nowoczesnych Technologii",21-11-2023,22-12-2023,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=CNT
117,Michał Gramatyka,Polska2050-TD,aktywny,31,Komisja do Spraw Służb Specjalnych,21-11-2023,22-12-2023,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KSS
118,Małgorzata Gromadzka,KO,aktywny,7,Komisja Polityki Społecznej i Rodziny,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=PSR
118,Małgorzata Gromadzka,KO,aktywny,7,Podkomisja stała do spraw rodziny,19-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=PSR01S
118,Małgorzata Gromadzka,KO,aktywny,7,Podkomisja stała do spraw zabezpieczenia społecznego,19-02-2025,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=PSR05S
118,Małgorzata Gromadzka,KO,aktywny,7,Komisja Rolnictwa i Rozwoju Wsi,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=RRW
118,Małgorzata Gromadzka,KO,aktywny,7,Podkomisja stała do spraw monitoringu Wspólnej Polityki Rolnej Unii Europejskiej i akcesji nowych państw do Unii Europejskiej ze szczególnym uwzględnieniem Ukrainy,09-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=RRW01S
