mp_id,full_name,club,mandate_status,district_number,data,url
067,Barbara Dolniak,KO,aktywny,32,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/46C96DB72D91DD30C1258A9F0040F78E/%24File/RK10.067.01.pdf
068,Andrzej Domański,KO,aktywny,19,,
069,Bartłomiej Dorywalski,PiS,aktywny,33,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/1354FE21D43BC12DC1258A9F0040F799/%24File/RK10.069.01.pdf
070,Robert Dowhan,KO,aktywny,8,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/3392ACBBF885DDD4C1258A9F0040F7A4/%24File/RK10.070.01.pdf
071,Przemysław Drabek,PiS,aktywny,27,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/0DA8C1A36DBEFB9AC1258A9F0040F7B0/%24File/RK10.071.01.pdf
072,Elżbieta Duda,PiS,aktywny,13,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/FF5EDF4EC1025A2DC1258A9F0040F7BC/%24File/RK10.072.01.pdf
073,Michał Paweł Dworczyk,PiS,wygasl,2,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/2B487F45C4EE2B4EC1258A9F0040F7D0/%24File/RK10.073.01.pdf
074,Adam Dziedzic,PSL-TD,aktywny,23,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/DEFD27C462C83309C1258A9F0040F7E3/%24File/RK10.074.01.pdf
075,Jan Michał Dziedziczak,PiS,aktywny,36,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/A2600EB829913A7DC1258A9F0040F7F2/%24File/RK10.075.01.pdf
076,Agnieszka Dziemianowicz-Bąk,Lewica,aktywny,26,,
077,Magdalena Filiks,KO,aktywny,41,,
078,Magdalena Filipek-Sobczak,PiS,aktywny,6,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/E3C8ECCA3F9076B6C1258A9F0040F7FF/%24File/RK10.078.01.pdf
079,Radosław Fogiel,PiS,aktywny,17,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/F9D9FB2A60529B81C1258A9F0040F80D/%24File/RK10.079.01.pdf
080,Bronisław Foltyn,Konfederacja,aktywny,27,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/F8B6C1D68611E094C1258A9F0040F81A/%24File/RK10.080.01.pdf
081,Roman Fritz,Konfederacja_KP,aktywny,30,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/7B22FA52EA0B7BE9C1258A9F0040F826/%24File/RK10.081.01.pdf
082,Joanna Frydrych,KO,aktywny,22,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/F5DD805F0B31D247C1258A9F0040F831/%24File/RK10.082.01.pdf
083,Konrad Frysztak,KO,aktywny,17,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/A56307B41990FD24C1258A9F0040F83C/%24File/RK10.083.01.pdf
083,Konrad Frysztak,KO,aktywny,17,2025-01-24,https://orka.sejm.gov.pl/rkor10.nsf/0/9E4B50F1B79FEF43C1258C1C0039F974/%24File/RK10.083.02.pdf
