mp_id,full_name,club,mandate_status,district_number,present_votes,total_votes,participation,details_url
260,Małgorzata Niemczyk,KO,aktywny,9,2580,2586,99.77%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=260
261,Jolanta Niezgodzka,KO,aktywny,3,2560,2586,98.99%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=261
262,Sławomir Nitras,KO,aktywny,41,2059,2586,79.62%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=262
263,Barbara Nowacka,KO,aktywny,26,2358,2586,91.18%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=263
264,Maja Ewa Nowak,Polska2050-TD,aktywny,8,2527,2586,97.72%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=264
265,Tomasz Piotr Nowak,KO,aktywny,37,2523,2586,97.56%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=265
266,Wanda Nowicka,Lewica,aktywny,29,2297,2586,88.82%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=266
267,Urszula Nowogórska,PSL-TD,aktywny,14,2550,2586,98.61%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=267
268,Mirosława Nykiel,KO,wygasl,27,442,446,99.10%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=268
269,Marcin Ociepa,PiS,aktywny,21,2409,2586,93.16%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=269
270,Marzena Okła-Drewnowicz,KO,aktywny,33,2569,2586,99.34%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=270
271,Barbara Okuła,Polska2050-TD,aktywny,24,2582,2586,99.85%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=271
272,Barbara Oliwiecka,Polska2050-TD,aktywny,36,2512,2586,97.14%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=272
273,Dorota Olko,Lewica,aktywny,19,2358,2586,91.18%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=273
274,Paweł Olszewski,KO,aktywny,4,2508,2586,96.98%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=274
275,Mirosław Adam Orliński,PSL-TD,aktywny,16,2576,2586,99.61%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=275
276,Łukasz Osmalak,Polska2050-TD,aktywny,30,2585,2586,99.96%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=276
277,Katarzyna Osos,KO,aktywny,8,2488,2586,96.21%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=277
278,Jacek Osuch,PiS,aktywny,13,2134,2586,82.52%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=278
279,Jacek Ozdoba,PiS,wygasl,16,410,446,91.93%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=279
280,Teresa Pamuła,PiS,aktywny,22,2394,2586,92.58%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=280
281,Paweł Papke,KO,aktywny,35,2552,2586,98.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=281
282,Urszula Pasławska,PSL-TD,aktywny,35,2248,2586,86.93%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=282
283,Krzysztof Paszyk,PSL-TD,aktywny,38,2393,2586,92.54%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=283
284,Karolina Pawliczak,KO,aktywny,36,2583,2586,99.88%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=284
285,Bartłomiej Pejo,Konfederacja,aktywny,6,2479,2586,95.86%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=285
286,Ryszard Petru,Polska2050-TD,aktywny,19,2190,2586,84.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=286
287,Małgorzata Pępek,KO,aktywny,27,2586,2586,100.00%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=287
288,Bolesław Piecha,PiS,aktywny,30,1887,2586,72.97%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=288
289,Grzegorz Piechowiak,PiS,aktywny,38,2176,2586,84.15%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=289
290,Anna Pieczarka,PiS,aktywny,15,2487,2586,96.17%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=290
291,Katarzyna Maria Piekarska,KO,aktywny,19,2481,2586,95.94%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=291
292,Norbert Pietrykowski,Polska2050-TD,aktywny,4,2126,2586,82.21%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=292
293,Lucjan Marek Pietrzczyk,KO,aktywny,33,2581,2586,99.81%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=293
294,Dariusz Piontkowski,PiS,aktywny,24,2416,2586,93.43%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=294
295,Kazimierz Plocke,KO,aktywny,26,2578,2586,99.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=295
296,Grzegorz Płaczek,Konfederacja,aktywny,31,2510,2586,97.06%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=296
297,Kacper Płażyński,PiS,aktywny,25,2054,2586,79.43%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=297
298,Szymon Pogoda,PiS,aktywny,1,2529,2586,97.80%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=298
